David Johnson*+,ARI,RB
Ezekiel Elliott*+,DAL,RB
LeSean McCoy*,BUF,RB
Aaron Rodgers*,GNB,QB
DeMarco Murray*,TEN,RB
Le'Veon Bell*,PIT,RB
Devonta Freeman*,ATL,RB
LeGarrette Blount,NWE,RB
Matt Ryan*+,ATL,QB
Mike Evans*,TAM,WR
Jordy Nelson,GNB,WR
Antonio Brown*+,PIT,WR
Melvin Gordon*,SDG,RB
Jordan Howard*,CHI,RB
Odell Beckham*,NYG,WR
Drew Brees*,NOR,QB
Mark Ingram,NOR,RB
T.Y. Hilton*,IND,WR
Jay Ajayi*,MIA,RB
Julio Jones*+,ATL,WR
Travis Kelce*+,KAN,TE
Davante Adams,GNB,WR
Frank Gore,IND,RB
Latavius Murray,OAK,RB
Brandin Cooks,NOR,WR
Greg Olsen*,CAR,TE
Andrew Luck,IND,QB
Kyle Rudolph,MIN,TE
Kirk Cousins*,WAS,QB
Michael Thomas,NOR,WR
Doug Baldwin*,SEA,WR
Jimmy Graham*,SEA,TE
Delanie Walker*,TEN,TE
Isaiah Crowell,CLE,RB
Carlos Hyde,SFO,RB
Spencer Ware,KAN,RB
Lamar Miller,HOU,RB
Tevin Coleman,ATL,RB
Michael Crabtree,OAK,WR
Amari Cooper*,OAK,WR
Dak Prescott*,DAL,QB
Cameron Brate,TAM,TE
Martellus Bennett,NWE,TE
Jeremy Hill,CIN,RB
Todd Gurley,LAR,RB
Rishard Matthews,TEN,WR
Matt Forte,NYJ,RB
Tyrell Williams,SDG,WR
Zach Ertz,PHI,TE
Jordan Reed*,WAS,TE
Matthew Stafford,DET,QB
Bilal Powell,NYJ,WR
Terrelle Pryor,CLE,WR
Tyreek Hill*+,KAN,WR
Jarvis Landry*,MIA,WR
Larry Fitzgerald*,ARI,WR
Demaryius Thomas*,DEN,WR
Kelvin Benjamin,CAR,WR
Dez Bryant*,DAL,WR
Emmanuel Sanders*,DEN,WR
Jonathan Stewart,CAR,RB
Hunter Henry,SDG,TE
Julian Edelman,NWE,WR
Golden Tate,DET,WR
Antonio Gates,SDG,TE
Terrance West,BAL,RB
Mike Wallace,BAL,WR
Tyrod Taylor,BUF,QB
Derek Carr*,OAK,QB
Blake Bortles,JAX,QB
Russell Wilson,SEA,QB
Kenny Britt,LAR,WR
Kenny Stills,MIA,WR
Allen Robinson,JAX,WR
Coby Fleener,NOR,TE
Adam Thielen,MIN,WR
Ryan Mathews,PHI,RB
Marcus Mariota,TEN,QB
Ben Roethlisberger*,PIT,QB
Philip Rivers*,SDG,QB
Jameis Winston,TAM,QB
Tom Brady*,NWE,QB
Andy Dalton*,CIN,QB
Cam Newton,CAR,QB
Carson Palmer,ARI,QB
Joe Flacco,BAL,QB
Eli Manning,NYG,QB
Alex Smith*,KAN,QB
Sam Bradford,MIN,QB
Carson Wentz,PHI,QB
Colin Kaepernick,SFO,QB
Trevor Siemian,DEN,QB
Ryan Tannehill,MIA,QB
Brock Osweiler,HOU,QB
Ryan Fitzpatrick,NYJ,QB
Jamison Crowder,WAS,WR
DeSean Jackson,WAS,WR
Pierre Garcon,WAS,WR
