Arian Foster*+,HOU,RB
Peyton Hillis,CLE,RB
Adrian Peterson*,MIN,RB
Jamaal Charles*+,KAN,RB
Chris Johnson*,TEN,RB
Brandon Lloyd*,DEN,WR
Dwayne Bowe*,KAN,WR
Darren McFadden,OAK,RB
Roddy White*+,ATL,WR
Michael Vick*,PHI,QB
Rashard Mendenhall,PIT,RB
LeSean McCoy,PHI,RB
Greg Jennings*,GNB,WR
Matt Forte,CHI,RB
Michael Turner*,ATL,RB
Ray Rice,BAL,RB
Aaron Rodgers,GNB,QB
Mike Wallace,PIT,WR
Calvin Johnson*,DET,WR
Tom Brady*+,NWE,QB
Ahmad Bradshaw,NYG,RB
Maurice Jones-Drew*,JAX,RB
Steven Jackson*,STL,RB
Jason Witten*+,DAL,TE
Philip Rivers*,SDG,QB
Peyton Manning*,IND,QB
Reggie Wayne*+,IND,WR
Hakeem Nicks,NYG,WR
Andre Johnson*,HOU,WR
Steve Johnson,BUF,WR
BenJarvus Green-Ellis,NWE,RB
Mike Williams,TAM,WR
Miles Austin*,DAL,WR
Jeremy Maclin,PHI,WR
Drew Brees*,NOR,QB
Antonio Gates*,SDG,TE
Cedric Benson,CIN,RB
DeSean Jackson*,PHI,WR
Vernon Davis,SFO,TE
Terrell Owens,CIN,WR
Larry Fitzgerald*,ARI,WR
Marcedes Lewis*,JAX,TE
Josh Freeman,TAM,QB
Mario Manningham,NYG,WR
Santana Moss,WAS,WR
Matt Ryan*,ATL,QB
Marques Colston,NOR,WR
LaDainian Tomlinson,NYJ,RB
Knowshon Moreno,DEN,RB
Mike Tolbert,SDG,RB
Frank Gore,SFO,RB
Matt Schaub,HOU,QB
Rob Gronkowski,NWE,TE
Percy Harvin,MIN,WR
Fred Jackson,BUF,RB
Braylon Edwards,NYJ,WR
Kenny Britt,TEN,WR
Eli Manning,NYG,QB
Wes Welker*,NWE,WR
Johnny Knox,CHI,WR
Chris Cooley,WAS,TE
Anquan Boldin,BAL,WR
Joe Flacco,BAL,QB
Lance Moore,NOR,WR
Kellen Winslow,TAM,TE
Tony Gonzalez*,ATL,TE
Derrick Mason,BAL,WR
Brandon Jacobs,NYG,RB
Dustin Keller,NYJ,TE
Zach Miller*,OAK,TE
Brandon Marshall,MIA,WR
Jahvid Best,DET,RB
Aaron Hernandez,NWE,TE
Deion Branch,2TM,WR
Marquis Johnson,STL,0
LeGarrette Blount,TAM,RB
John Paul Foschi,CIN,0
Mike Thomas,JAX,WR
Matt Cassel*,KAN,QB
Carson Palmer,CIN,QB
David Garrard,JAX,QB
Jay Cutler,CHI,QB
Kyle Orton,DEN,QB
Ben Roethlisberger,PIT,QB
Ryan Fitzpatrick,BUF,QB
Mark Sanchez,NYJ,QB
Sam Bradford,STL,QB
Donovan McNabb,WAS,QB
Shaun Hill,DET,QB
Jason Campbell,OAK,QB
Chad Henne,MIA,QB
Jon Kitna,DAL,QB
Matt Hasselbeck,SEA,QB
Alex Smith,SFO,QB
Thomas Jones,KAN,RB
Felix Jones,DAL,RB
Michael Bush,OAK,RB
Brandon Jackson,GNB,RB
Danny Woodhead,2TM,RB
Ronnie Brown,MIA,RB
Marshawn Lynch,2TM,RB
Ryan Mathews,SDG,RB
Ryan Torain,WAS,RB
Tim Hightower,ARI,RB
Kerry Collins,TEN,QB
Pierre Garcon,IND,WR
Austin Collie,IND,WR
Davone Bess,MIA,WR
Santonio Holmes,NYJ,WR
Michael Crabtree,SFO,WR
Malcom Floyd,SDG,WR
Nate Burleson,DET,WR
Brett Favre,MIN,QB
Chad Johnson,CIN,0
Anthony Armstrong,WAS,WR
