27,16,16,0,0,0,0,0,3,28,9.33,0,193,136,1834,13.49,10,3,2,11,2,0
23,15,13,0,0,0,0,0,265,1056,3.98,11,97,73,578,7.92,3,3,2,14,0,0
26,16,16,0,0,0,0,0,0,0,0.0,0,203,136,1871,13.76,8,3,1,9,0,0
30,16,16,0,0,0,0,0,327,1485,4.54,11,36,30,222,7.4,0,7,3,11,0,0
26,16,16,296,495,3837,35,10,132,636,4.82,10,0,0,0,0.0,0,5,4,10,0,0
31,16,16,0,0,0,0,0,0,0,0.0,0,173,109,1502,13.78,14,3,2,14,0,0
22,16,16,0,0,0,0,0,0,0,0.0,0,151,80,1400,17.5,14,0,0,14,0,0
23,15,15,0,0,0,0,0,1,3,3.0,0,158,96,1450,15.1,13,2,0,13,0,0
26,15,15,0,0,0,0,0,0,0,0.0,0,120,72,1176,16.33,11,0,0,11,0,0
23,16,16,0,0,0,0,0,0,0,0.0,0,192,111,1521,13.7,11,1,0,11,1,0
26,16,16,0,0,0,0,0,288,1402,4.87,6,44,33,271,8.21,1,5,5,7,0,0
30,16,13,0,0,0,0,0,0,0,0.0,0,125,79,1043,13.2,9,0,0,9,0,0
25,14,9,0,0,0,0,0,0,0,0.0,0,114,87,952,10.94,11,3,2,11,0,0
32,16,10,0,0,0,0,0,200,907,4.54,11,47,40,367,9.18,0,4,2,11,1,0
27,16,16,0,0,0,0,0,0,0,0.0,0,103,78,1069,13.71,14,1,0,14,0,0
21,13,12,0,0,0,0,0,229,1106,4.83,10,26,21,188,8.95,0,3,1,10,0,0
27,16,16,0,0,0,0,0,0,0,0.0,0,132,86,1297,15.08,10,1,1,10,0,0
30,16,16,0,0,0,0,0,0,0,0.0,0,124,77,1104,14.34,7,1,1,7,0,0
31,15,10,0,0,0,0,0,1,36,36.0,0,133,94,1088,11.57,6,0,0,6,1,0
24,16,16,0,0,0,0,0,194,872,4.49,8,57,47,397,8.45,2,1,1,10,0,0
38,16,16,402,624,4770,36,7,34,53,1.56,3,1,1,36,36.0,0,6,2,3,0,0
27,16,16,329,483,4024,34,8,103,553,5.37,1,0,0,0,0.0,0,7,3,1,0,0
25,13,12,0,0,0,0,0,0,0,0.0,0,74,52,615,11.83,13,0,0,13,0,0
24,16,5,0,0,0,0,0,125,581,4.65,8,57,36,457,12.69,4,4,1,13,0,0
30,13,13,0,0,0,0,0,218,898,4.12,4,58,44,389,8.84,3,2,1,7,1,0
27,15,14,0,0,0,0,0,247,1070,4.33,7,37,30,217,7.23,1,4,2,8,0,0
30,16,16,0,0,0,0,0,0,0,0.0,0,149,88,1214,13.8,9,1,1,9,0,0
28,15,13,0,0,0,0,0,0,0,0.0,0,132,80,1027,12.84,12,1,1,12,0,0
32,16,16,0,0,0,0,0,0,0,0.0,0,145,109,1215,11.15,9,2,2,9,0,0
22,16,13,0,0,0,0,0,8,18,2.25,0,129,84,1138,13.55,9,1,0,9,0,0
25,16,16,0,0,0,0,0,266,1066,4.01,6,53,41,232,5.66,0,4,1,6,0,0
28,16,16,0,0,0,0,0,0,0,0.0,0,177,105,1304,12.42,6,2,2,6,0,0
30,16,2,0,0,0,0,0,98,336,3.43,3,106,80,755,9.44,6,0,0,9,0,0
23,16,16,355,606,4428,35,18,52,310,5.96,2,0,0,0,0.0,0,14,5,2,0,1
24,15,15,0,0,0,0,0,0,0,0.0,0,105,64,1031,16.11,10,2,1,10,0,0
32,16,16,0,0,0,0,0,260,967,3.72,6,58,34,267,7.85,1,4,3,7,0,0
23,16,14,1,1,9,0,0,18,113,6.28,1,166,110,1157,10.52,4,1,0,6,1,0
22,13,13,0,0,0,0,0,1,1,1.0,0,96,60,1047,17.45,9,0,0,9,0,0
23,16,15,0,0,0,0,0,223,794,3.56,11,19,15,79,5.27,1,3,3,12,1,0
28,16,10,0,1,0,0,0,239,1089,4.56,3,53,40,328,8.2,0,3,3,3,1,0
27,15,15,0,0,0,0,0,3,14,4.67,0,124,87,1088,12.51,8,2,1,8,0,0
26,16,16,0,0,0,0,0,0,0,0.0,0,103,72,875,12.15,5,2,2,5,2,0
26,12,10,0,0,0,0,0,166,769,4.63,6,60,50,405,8.1,0,2,1,6,1,0
35,16,16,0,0,0,0,0,0,0,0.0,0,110,74,825,11.15,6,1,1,6,0,0
36,16,16,342,537,4671,35,11,25,24,0.96,1,0,0,0,0.0,0,6,2,1,0,0
28,15,15,0,0,0,0,0,3,29,9.67,0,136,76,1135,14.93,6,2,2,6,0,0
28,13,13,0,0,0,0,0,242,989,4.09,6,21,16,99,6.19,1,3,2,7,0,0
27,12,12,0,0,0,0,0,203,895,4.41,3,50,32,292,9.13,2,2,2,5,1,0
28,16,15,0,0,0,0,0,0,0,0.0,0,146,85,922,10.85,9,1,0,9,0,0
23,16,13,0,0,0,0,0,0,0,0.0,0,126,85,997,11.73,8,2,1,8,0,0
36,15,15,428,627,4870,32,11,24,14,0.58,1,0,0,0,0.0,0,5,2,1,0,0
32,16,16,347,572,3821,31,8,58,344,5.93,1,0,0,0,0.0,0,8,4,1,0,4
25,15,11,0,0,0,0,0,3,22,7.33,0,101,65,1003,15.43,7,1,1,7,0,0
26,16,15,0,0,0,0,0,0,0,0.0,0,134,69,1124,16.29,5,1,0,5,0,0
27,15,8,0,0,0,0,0,193,702,3.64,6,55,44,322,7.32,1,2,2,7,0,0
31,16,15,0,0,0,0,0,0,0,0.0,0,99,50,890,17.8,8,1,0,8,2,0
21,16,15,0,0,0,0,0,3,-3,-1.0,0,130,72,1070,14.86,6,1,1,6,0,0
