Aaron Rodgers*+,GNB,QB,28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,0,0,0,5,0,3,0,0,399,392.4,406.9,398.4,171,1,1
Drew Brees*,NOR,QB,32,16,16,468,657,5476,46,14,21,86,4.10,1,0,0,0,0,0,1,0,1,0,3,396,394.6,412.1,408.6,167,2,2
Ray Rice*,BAL,RB,24,16,16,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,2,0,15,0,0,301,374.8,381.8,336.8,152,1,3
Calvin Johnson*+,DET,WR,26,16,16,0,0,0,0,0,1,11,11.00,0,158,96,1681,17.51,16,1,0,16,0,0,267,360.2,363.7,312.2,151,1,4
Cam Newton*,CAR,QB,22,16,16,310,517,4051,21,17,126,706,5.60,14,1,1,27,27.00,0,5,0,14,0,2,375,369.3,394.8,385.8,147,3,5
Rob Gronkowski*+,NWE,TE,22,16,16,0,0,0,0,0,1,2,2.00,1,124,90,1327,14.74,17,0,0,18,0,0,241,330.9,333.9,285.9,143,1,6
Tom Brady*,NWE,QB,34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,0,0,0,6,0,3,0,0,370,364.3,385.3,376.3,142,4,7
LeSean McCoy*+,PHI,RB,23,15,15,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,1,0,20,0,0,282,329.4,335.9,305.4,134,2,8
Matthew Stafford,DET,QB,23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,0,0,0,5,0,0,0,2,347,340.3,361.8,356.3,119,5,9
Maurice Jones-Drew*+,JAX,RB,26,16,16,0,0,0,0,0,343,1606,4.68,8,64,43,374,8.70,3,6,0,11,0,0,264,301.0,310.0,279.5,115,3,10
Arian Foster*,HOU,RB,25,13,13,0,0,0,0,0,278,1224,4.40,10,72,53,617,11.64,2,6,0,12,0,0,256,303.1,312.1,276.6,108,4,11
Jordy Nelson,GNB,WR,26,16,9,0,0,0,0,0,0,0,0,0,96,68,1263,18.57,15,0,0,15,0,0,216,284.3,287.3,250.3,100,2,12
Jimmy Graham*,NOR,TE,25,16,11,0,0,0,0,0,0,0,0,0,149,99,1310,13.23,11,1,0,11,0,0,197,295.0,298.5,245.5,99,2,13
Wes Welker*+,NWE,WR,30,16,15,0,0,0,0,0,4,30,7.50,0,173,122,1569,12.86,9,1,0,9,0,0,214,334.9,338.4,273.9,98,3,14
Victor Cruz,NYG,WR,25,16,7,0,0,0,0,0,1,3,3.00,0,131,82,1536,18.73,9,1,0,9,0,0,208,288.9,292.4,247.9,92,4,15
Larry Fitzgerald*,ARI,WR,28,16,16,0,0,0,0,0,0,0,0,0,154,80,1411,17.64,8,0,0,8,0,0,189,269.1,272.1,229.1,73,5,16
Steve Smith*,CAR,WR,32,16,16,0,0,0,0,0,6,56,9.33,0,129,79,1394,17.65,7,3,0,7,1,0,189,265.0,269.5,225.5,73,6,17
Marshawn Lynch*,SEA,RB,25,15,15,0,2,0,0,0,285,1204,4.22,12,41,28,212,7.57,1,3,0,13,0,0,220,244.6,252.1,230.6,71,5,18
Michael Turner,ATL,RB,29,16,15,0,0,0,0,0,301,1340,4.45,11,26,17,168,9.88,0,3,0,11,0,0,217,230.8,238.3,222.3,68,6,19
Percy Harvin,MIN,WR,23,16,14,0,0,0,0,0,52,345,6.63,2,121,87,967,11.11,6,2,0,9,0,0,179,270.2,277.2,226.7,63,7,20
Roddy White*,ATL,WR,30,16,16,0,0,0,0,0,0,0,0,0,180,100,1296,12.96,8,0,0,8,0,0,178,277.6,280.6,227.6,62,8,21
Eli Manning*,NYG,QB,30,16,16,359,589,4933,29,16,35,15,0.43,1,0,0,0,0,0,8,0,1,0,0,289,280.8,303.8,296.8,60,6,22
Mike Wallace*,PIT,WR,25,16,14,0,0,0,0,0,5,57,11.40,0,114,72,1193,16.57,8,1,0,8,0,0,173,244.0,247.5,208.0,57,9,23
Vincent Jackson*,SDG,WR,28,16,16,0,0,0,0,0,3,51,17.00,0,115,60,1106,18.43,9,0,0,9,0,0,170,229.7,232.7,199.7,54,10,24
Tony Romo,DAL,QB,31,16,16,346,522,4184,31,10,22,46,2.09,1,0,0,0,0,0,7,0,1,0,0,282,275.0,291.5,285.0,53,7,25
Matt Ryan,ATL,QB,26,16,16,347,566,4177,29,12,37,84,2.27,2,0,0,0,0,0,5,0,2,0,0,281,274.5,292.0,286.5,53,8,26
Marques Colston,NOR,WR,28,14,7,0,0,0,0,0,0,0,0,0,107,80,1143,14.29,8,1,0,8,0,0,162,241.3,244.8,201.3,46,11,27
Hakeem Nicks,NYG,WR,23,15,15,0,0,0,0,0,0,0,0,0,133,76,1192,15.68,7,0,0,7,0,0,161,237.2,240.2,199.2,45,12,28
Brandon Marshall*,MIA,WR,27,16,16,0,0,0,0,0,1,13,13.00,0,141,81,1214,14.99,6,1,0,6,0,0,161,238.7,242.2,198.2,45,13,29
Ryan Mathews*,SDG,RB,24,14,14,0,0,0,0,0,222,1091,4.91,6,59,50,455,9.10,0,5,0,6,0,0,191,235.6,244.1,210.6,42,7,30
