Chris Johnson*+,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.60,14,71,50,503,10.06,2,3,0,16,1,0,349,395.9,403.4,370.9,202,1,1
Adrian Peterson*+,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.40,18,57,43,436,10.14,0,7,0,18,0,0,290,325.9,335.4,304.4,143,2,2
Maurice Jones-Drew*,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,2,0,16,0,0,273,323.5,330.5,297.0,126,3,3
Aaron Rodgers*,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,0,0,10,0,5,0,3,351,341.0,359.0,348.0,115,1,4
Ray Rice*,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9.00,1,3,0,8,0,0,252,327.1,334.6,288.1,105,4,5
Andre Johnson*+,HOU,WR,28,16,16,0,0,0,0,0,2,10,5.00,0,171,101,1569,15.53,9,1,0,9,1,0,214,313.9,317.4,263.4,98,1,6
Randy Moss,NWE,WR,32,16,16,0,0,0,0,0,0,0,0,0,137,83,1264,15.23,13,2,0,13,1,0,206,287.4,291.4,245.9,91,2,7
Frank Gore*,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,4,0,13,0,0,231,278.6,286.6,252.6,84,5,8
Thomas Jones,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.80,0,2,0,14,0,0,230,238.0,242.0,233.0,83,6,9
Miles Austin*,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1.00,0,124,81,1320,16.30,11,1,0,11,0,0,198,277.8,281.3,237.3,82,3,10
Vernon Davis*,SFO,TE,25,16,16,0,0,0,0,0,0,0,0,0,128,78,965,12.37,13,0,0,13,0,0,175,252.5,255.5,213.5,76,1,11
DeSean Jackson*,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,3,0,12,0,0,189,260.3,267.8,229.3,74,4,12
Dallas Clark*+,IND,TE,30,16,16,0,0,0,0,0,2,11,5.50,0,133,100,1106,11.06,10,1,0,10,0,0,172,270.7,274.2,220.7,73,2,13
Larry Fitzgerald*,ARI,WR,26,16,16,0,0,0,0,0,0,0,0,0,153,97,1092,11.26,13,0,0,13,0,0,187,284.2,287.2,235.7,71,5,14
Drew Brees*,NOR,QB,30,15,15,363,514,4388,34,11,22,33,1.50,2,1,1,-4,-4.00,0,10,0,2,0,1,306,297.4,316.4,307.9,70,2,15
Ricky Williams,MIA,RB,32,16,7,0,1,0,0,1,241,1121,4.65,11,53,35,264,7.54,2,5,0,13,1,0,217,246.5,256.0,230.0,70,7,16
Reggie Wayne*,IND,WR,31,16,16,0,1,0,0,1,0,0,0,0,149,100,1264,12.64,10,0,0,10,0,0,184,284.4,288.4,235.4,69,6,17
Roddy White*,ATL,WR,28,16,16,0,0,0,0,0,1,2,2.00,0,165,85,1153,13.56,11,1,0,11,0,0,182,265.5,269.0,223.0,66,7,18
Antonio Gates*,SDG,TE,29,16,16,0,0,0,0,0,0,0,0,0,114,79,1157,14.65,8,1,0,8,0,0,164,241.7,245.2,202.2,65,3,19
