Arian Foster*+,HOU,RB,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,3,0,18,0,0,330,393.0,400.5,360.0,192,1,1
Peyton Hillis,CLE,RB,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,8,0,13,0,0,244,296.9,306.9,266.4,106,2,2
Adrian Peterson*,MIN,RB,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,1,0,13,0,0,242,276.9,283.4,258.9,104,3,3
Jamaal Charles*+,KAN,RB,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,3,0,8,0,0,242,283.5,291.0,261.0,103,4,4
Chris Johnson*,TEN,RB,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,3,0,12,0,0,233,273.9,281.4,251.9,95,5,5
Brandon Lloyd*,DEN,WR,29,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,0,0,11,0,0,209,286.0,289.0,247.5,92,1,6
Dwayne Bowe*,KAN,WR,26,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,1,0,15,0,0,207,277.6,281.1,241.6,89,2,7
Darren McFadden,OAK,RB,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,4,0,10,0,0,226,269.4,277.4,245.9,88,6,8
Roddy White*+,ATL,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,1,0,10,2,0,203,317.2,320.7,259.7,86,3,9
Michael Vick*,PHI,QB,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,0,0,11,0,9,0,1,316,305.3,322.8,311.3,85,1,10
Rashard Mendenhall,PIT,RB,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,2,0,13,0,0,222,243.0,250.0,231.5,84,7,11
LeSean McCoy,PHI,RB,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,2,0,9,0,0,221,297.2,304.2,258.2,83,8,12
Greg Jennings*,GNB,WR,27,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,2,0,12,0,0,198,272.4,276.4,234.4,81,4,13
Matt Forte,CHI,RB,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,3,0,9,1,0,218,265.6,273.1,240.1,80,10,14
Michael Turner*,ATL,RB,28,16,15,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,2,0,12,0,0,218,227.6,231.6,221.6,80,9,15
Ray Rice,BAL,RB,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,0,0,6,0,0,214,276.6,282.6,245.1,76,11,16
Aaron Rodgers,GNB,QB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,0,0,4,0,4,0,0,306,302.5,321.5,313.5,75,2,17
Mike Wallace,PIT,WR,24,16,16,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,1,0,10,0,0,190,248.6,252.1,218.6,72,5,18
Calvin Johnson*,DET,WR,25,15,15,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,1,0,12,1,0,189,265.2,268.7,226.7,72,6,19
Tom Brady*+,NWE,QB,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,0,0,3,0,1,0,0,301,298.0,306.5,302.0,70,3,20
Ahmad Bradshaw,NYG,RB,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,7,0,8,1,0,205,244.9,254.4,221.4,67,12,21
Maurice Jones-Drew*,JAX,RB,25,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,2,0,7,0,0,204,236.1,244.1,220.1,66,13,22
Steven Jackson*,STL,RB,27,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,1,0,6,0,0,198,243.4,249.9,220.4,60,14,23
Jason Witten*+,DAL,TE,28,16,16,0,0,0,0,0,0,0,0,0,128,94,1002,10.66,9,1,0,9,1,0,156,249.2,252.7,202.2,60,1,24
Philip Rivers*,SDG,QB,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,0,0,7,0,0,0,1,290,282.6,302.1,295.6,58,4,25
Peyton Manning*,IND,QB,34,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,0,0,0,3,0,0,0,0,288,284.8,306.3,301.8,57,5,26
Reggie Wayne*+,IND,WR,32,16,16,0,0,0,0,0,0,0,0,0,175,111,1355,12.21,6,1,0,6,0,0,172,281.5,285.0,226.0,54,7,27
Hakeem Nicks,NYG,WR,22,13,12,0,0,0,0,0,0,0,0,0,128,79,1052,13.32,11,1,0,11,0,0,171,249.2,252.7,209.7,54,8,28
Andre Johnson*,HOU,WR,29,13,13,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,1,0,8,0,0,171,255.6,259.1,212.6,53,9,29
Steve Johnson,BUF,WR,24,16,13,0,0,0,0,0,0,0,0,0,141,82,1073,13.09,10,1,0,10,0,0,167,248.3,251.8,207.3,50,10,30
BenJarvus Green-Ellis,NWE,RB,25,16,11,0,0,0,0,0,229,1008,4.40,13,16,12,85,7.08,0,0,0,13,0,0,187,199.3,202.3,193.3,49,15,31
Mike Williams,TAM,WR,23,16,16,0,0,0,0,0,0,0,0,0,129,65,964,14.83,11,3,0,11,0,0,162,224.4,228.9,191.9,45,11,32
