Todd Gurley,LAR,RB,24,11,11,0,0,0,0,0,210,1043,4.97,13,56,43,441,10.26,4,1,1,17,3,0,254,297.4,304.4,275.9,165,1,1
Alvin Kamara,NOR,RB,23,11,10,0,0,0,0,0,150,706,4.71,11,73,57,519,9.11,4,0,0,15,2,0,217,273.5,279.5,245.0,127,2,2
Kareem Hunt,KAN,RB,23,11,11,0,0,0,0,0,181,824,4.55,7,35,26,378,14.54,7,0,0,14,0,0,204,230.2,236.2,217.2,114,3,3
Tyreek Hill,KAN,WR,24,11,11,0,0,0,0,0,13,81,6.23,0,94,65,1106,17.02,11,0,0,12,0,0,191,255.7,258.7,223.2,113,1,4
Patrick Mahomes,KAN,QB,23,11,11,264,391,3628,37,10,42,186,4.43,2,0,0,0,0,0,7,2,2,0,0,300,299.7,317.7,309.7,111,1,5
Ezekiel Elliott,DAL,RB,23,11,11,0,0,0,0,0,217,1074,4.95,6,62,47,363,7.72,2,4,1,8,0,0,190,236.7,243.7,213.2,100,4,6
Melvin Gordon,LAC,RB,25,9,9,0,0,0,0,0,143,741,5.18,7,58,42,448,10.67,4,1,0,11,2,0,189,230.9,236.9,209.9,99,5,7
Saquon Barkley,NYG,RB,21,10,10,0,0,0,0,0,158,728,4.61,7,79,64,540,8.44,3,0,0,10,1,0,189,252.8,258.8,220.8,99,6,8
James Conner,PIT,RB,23,10,9,0,0,0,0,0,173,796,4.60,10,60,45,411,9.13,1,3,1,11,2,0,189,233.7,240.7,211.2,99,7,9
Travis Kelce,KAN,TE,29,11,11,0,0,0,0,0,0,0,0,0,101,67,914,13.64,7,1,0,7,0,0,133,200.4,203.4,166.9,83,1,10
Michael Thomas,NOR,WR,25,11,11,0,0,0,0,0,0,0,0,0,97,86,1080,12.56,8,2,2,8,0,0,152,238.0,243.0,195.0,75,2,11
Davante Adams,GNB,WR,26,10,10,0,0,0,0,0,0,0,0,0,106,72,953,13.24,9,0,0,9,0,0,149,221.3,224.3,185.3,72,3,12
Drew Brees,NOR,QB,39,11,11,272,356,3135,29,2,24,24,1.00,3,1,1,1,1.00,0,3,0,3,0,1,260,260.9,265.9,262.4,72,2,13
Antonio Brown,PIT,WR,30,10,10,0,0,0,0,0,0,0,0,0,109,62,807,13.02,11,0,0,11,0,0,147,208.7,211.7,177.7,69,4,14
Christian McCaffrey,CAR,RB,22,10,10,0,0,0,0,0,136,632,4.65,4,71,60,496,8.27,4,1,1,8,0,0,159,218.8,225.8,188.8,69,8,15
Julio Jones,ATL,WR,29,11,11,0,0,0,0,0,2,12,6.00,0,125,84,1305,15.54,3,2,2,3,0,0,146,229.7,234.7,187.7,68,5,16
Adam Thielen,MIN,WR,28,10,10,0,0,0,0,0,2,20,10.00,0,115,85,1013,11.92,7,1,1,7,1,0,145,230.3,234.3,187.8,68,6,17
Matt Ryan,ATL,QB,33,11,11,310,434,3683,24,5,22,97,4.41,2,0,0,0,0,0,7,3,2,0,2,253,253.0,264.0,258.0,65,3,18
Jared Goff,LAR,QB,24,11,11,258,381,3547,26,6,35,88,2.51,1,0,0,0,0,0,6,2,1,0,3,251,250.7,261.7,256.7,62,4,19
DeAndre Hopkins,HOU,WR,26,10,10,0,1,0,0,0,1,-7,-7.00,0,96,68,950,13.97,8,2,2,8,0,0,138,206.3,211.3,172.3,61,7,20
Zach Ertz,PHI,TE,28,10,10,0,0,0,0,0,0,0,0,0,103,77,804,10.44,5,0,0,5,0,0,110,187.4,190.4,148.9,60,2,21
Eric Ebron,IND,TE,25,10,5,0,1,0,0,0,2,1,0.50,1,65,39,463,11.87,9,0,0,10,0,0,106,145.4,148.4,125.9,56,3,22
Odell Beckham,NYG,WR,26,10,10,1,1,57,1,0,5,19,3.80,0,106,69,932,13.51,5,2,1,5,0,0,129,198.4,202.4,163.9,52,8,23
James White,NWE,RB,26,10,3,0,0,0,0,0,61,230,3.77,4,89,66,562,8.52,6,0,0,10,0,0,139,205.2,211.2,172.2,49,9,24
Robert Woods,LAR,WR,26,11,11,0,0,0,0,0,13,111,8.54,0,90,59,904,15.32,4,0,0,4,0,0,126,184.5,190.5,155.0,48,9,25
David Johnson,ARI,RB,27,10,10,0,0,0,0,0,168,629,3.74,6,46,32,309,9.66,2,2,2,8,0,0,138,169.8,177.8,153.8,48,10,26
Brandin Cooks,LAR,WR,25,11,11,0,0,0,0,0,7,41,5.86,1,84,59,964,16.34,3,1,0,4,0,0,125,183.5,186.5,154.0,47,10,27
George Kittle,SFO,TE,25,10,10,0,0,0,0,0,0,0,0,0,71,50,775,15.50,3,0,0,3,1,0,98,147.5,150.5,122.5,47,4,28
Mike Evans,TAM,WR,25,10,10,0,0,0,0,0,0,0,0,0,91,56,957,17.09,5,2,1,6,0,0,124,179.7,189.7,157.7,46,11,29
Adrian Peterson,WAS,RB,33,11,11,0,0,0,0,0,183,758,4.14,6,20,16,177,11.06,1,3,2,7,0,0,132,147.5,155.5,139.5,42,11,30
Cam Newton,CAR,QB,29,10,10,225,329,2443,20,6,77,354,4.60,4,0,0,0,0,0,5,0,4,0,2,229,229.1,241.1,235.1,41,5,31
Ben Roethlisberger,PIT,QB,36,10,10,271,416,3202,23,10,22,76,3.45,3,1,1,-1,-1.00,0,6,2,3,0,3,228,228.6,243.6,238.1,39,6,32
O.J. Howard,TAM,TE,24,10,8,0,0,0,0,0,0,0,0,0,48,34,565,16.62,5,0,0,5,0,0,87,120.5,123.5,103.5,36,5,33
Calvin Ridley,ATL,WR,24,11,1,0,0,0,0,0,6,27,4.50,0,66,47,625,13.30,8,2,1,8,0,0,111,158.2,162.2,134.7,34,12,34
Kenny Golladay,DET,WR,25,11,9,0,0,0,0,0,1,8,8.00,0,84,52,804,15.46,5,1,0,5,0,0,111,163.2,166.2,137.2,34,13,35
Emmanuel Sanders,DEN,WR,31,10,10,1,1,28,1,0,4,53,13.25,1,80,60,763,12.72,3,1,0,4,0,0,111,170.7,173.7,140.7,33,14,36
Phillip Lindsay,DEN,RB,24,10,3,0,0,0,0,0,121,670,5.54,5,31,24,187,7.79,1,0,0,6,0,0,122,145.7,151.7,133.7,32,12,37
Jared Cook,OAK,TE,31,10,8,0,0,0,0,0,0,0,0,0,65,45,577,12.82,4,0,0,4,0,0,82,126.7,129.7,104.2,31,6,38
JuJu Smith-Schuster,PIT,WR,22,10,8,0,0,0,0,0,1,13,13.00,0,93,64,866,13.53,3,0,0,3,1,0,108,171.9,174.9,139.9,31,15,39
Tevin Coleman,ATL,RB,25,11,9,0,0,0,0,0,122,506,4.15,2,37,29,268,9.24,5,1,0,7,0,0,119,148.4,154.4,133.9,30,13,40
Stefon Diggs,MIN,WR,25,9,9,0,0,0,0,0,7,36,5.14,0,103,71,713,10.04,5,0,0,5,1,0,107,177.9,180.9,142.4,30,16,41
Mitchell Trubisky,CHI,QB,24,10,10,210,321,2469,20,9,51,363,7.12,3,0,0,0,0,0,4,2,3,0,3,217,217.1,234.1,226.1,29,7,42
Tyler Boyd,CIN,WR,24,10,10,0,1,0,0,0,2,3,1.50,0,81,56,756,13.50,5,0,0,5,0,0,106,161.9,164.9,133.9,29,17,43
Andrew Luck,IND,QB,29,10,10,269,400,2769,29,9,21,61,2.90,0,1,0,0,0,0,3,1,0,0,2,217,216.9,229.9,225.9,28,8,44
DeSean Jackson,TAM,WR,32,10,9,0,0,0,0,0,4,19,4.75,1,62,37,731,19.76,4,0,0,5,0,0,105,142.0,145.0,123.5,28,18,45
A.J. Green,CIN,WR,30,8,8,0,0,0,0,0,0,0,0,0,76,45,687,15.27,6,2,1,6,0,0,103,147.7,151.7,125.2,25,19,46
Tyler Lockett,SEA,WR,26,10,9,0,0,0,0,0,7,50,7.14,0,49,38,554,14.58,7,1,0,7,0,0,102,140.4,143.4,121.4,25,20,47
Trey Burton,CHI,TE,27,11,11,0,0,0,0,0,1,2,2.00,0,53,38,448,11.79,5,1,1,5,1,0,75,113.0,117.0,94.0,24,7,48
Keenan Allen,LAC,WR,26,10,10,0,0,0,0,0,8,75,9.38,0,87,62,776,12.52,3,3,1,3,0,0,101,163.1,167.1,132.1,24,21,49
Joe Mixon,CIN,RB,22,8,8,0,0,0,0,0,128,584,4.56,5,33,24,177,7.38,1,0,0,6,0,0,112,136.1,142.1,124.1,22,14,50
Tarik Cohen,CHI,RB,23,11,6,0,0,0,0,0,66,285,4.32,2,63,47,503,10.70,4,4,2,6,0,0,111,157.8,165.8,134.3,21,15,51
Aaron Rodgers,GNB,QB,35,10,10,238,385,3073,19,1,29,148,5.10,0,0,0,0,0,0,6,3,0,0,1,208,207.7,217.7,208.7,19,9,52
Cooper Kupp,LAR,WR,25,8,8,0,0,0,0,0,4,25,6.25,0,56,40,566,14.15,6,0,0,6,0,0,95,135.1,138.1,115.1,18,22,53
Kerryon Johnson,DET,RB,21,10,7,0,0,0,0,0,118,641,5.43,3,40,32,213,6.66,1,1,1,4,0,0,107,139.4,146.4,123.4,18,16,54
T.Y. Hilton,IND,WR,29,8,8,0,0,0,0,0,0,0,0,0,63,38,585,15.39,6,0,0,6,0,0,95,132.5,135.5,113.5,17,23,55
Austin Hooper,ATL,TE,24,11,4,0,0,0,0,0,0,0,0,0,68,55,476,8.65,3,0,0,3,1,0,68,122.6,125.6,95.1,17,8,56
T.J. Yeldon,JAX,RB,25,10,4,0,0,0,0,0,89,369,4.15,1,62,44,406,9.23,4,1,1,5,0,0,106,149.5,156.5,127.5,16,17,57
Matt Breida,SFO,RB,23,10,9,0,0,0,0,0,113,632,5.59,3,18,15,124,8.27,2,1,1,5,0,0,104,118.6,125.6,111.1,14,18,58
Jordan Reed,WAS,TE,28,11,7,0,0,0,0,0,0,0,0,0,78,50,537,10.74,2,1,1,2,0,0,64,113.7,117.7,88.7,13,9,59
Isaiah Crowell,NYJ,RB,25,10,3,0,0,0,0,0,114,552,4.84,6,18,13,111,8.54,0,0,0,6,0,0,102,115.3,121.3,108.8,13,19,60
Aaron Jones,GNB,RB,24,8,5,0,0,0,0,0,84,534,6.36,5,23,16,141,8.81,1,1,1,6,0,0,102,117.5,124.5,109.5,12,20,61
Amari Cooper,2TM,WR,24,10,10,0,0,0,0,0,1,9,9.00,0,64,44,629,14.30,4,0,0,4,0,0,88,131.8,134.8,109.8,11,24,62
Philip Rivers,LAC,QB,37,10,10,211,315,2860,23,6,13,-4,-0.31,0,0,0,0,0,0,1,0,0,0,2,198,198.0,207.0,204.0,10,10,63
