Jake Delhomme,CAR,QB,31,13,13,263,431,2805,17,11,18,12,0.67,0,0,0,0,0,0,6,0,0,0,0,159,153.4,170.4,164.4,0,21,0
Ronnie Brown,MIA,RB,25,13,12,0,1,0,0,0,241,1008,4.18,5,38,33,276,8.36,0,4,0,5,0,0,158,187.4,195.4,170.9,0,24,0
Matt Hasselbeck,SEA,QB,31,12,12,210,371,2442,18,15,18,110,6.11,0,0,0,0,0,0,3,0,0,0,1,153,149.7,172.2,164.7,0,22,0
Willis McGahee,BUF,RB,25,14,14,0,0,0,0,0,259,990,3.82,6,28,18,156,8.67,0,4,0,6,0,0,151,164.6,172.6,155.6,0,25,0
Julius Jones,DAL,RB,25,16,16,0,0,0,0,0,267,1084,4.06,4,15,9,142,15.78,0,1,0,4,0,0,147,154.6,161.1,150.1,0,26,0
Charlie Frye,CLE,QB,25,13,13,252,393,2454,10,17,47,215,4.57,3,0,0,0,0,0,8,0,3,0,0,144,135.7,162.7,152.7,0,23,0
Matt Leinart,ARI,QB,23,12,11,214,377,2547,11,12,22,49,2.23,2,0,0,0,0,0,8,0,2,0,0,139,130.8,149.8,142.8,0,24,0
Shaun Alexander,SEA,RB,29,10,10,0,0,0,0,0,252,896,3.56,7,16,12,48,4.00,0,6,0,7,0,0,136,142.4,148.4,136.4,0,27,0
Laurence Maroney,NWE,RB,21,14,0,0,0,0,0,0,175,745,4.26,6,30,22,194,8.82,1,1,0,7,0,0,136,156.9,163.4,145.9,0,28,0
Mike Bell,DEN,RB,23,15,3,0,0,0,0,0,157,677,4.31,8,27,20,158,7.90,0,1,0,8,0,0,132,150.5,157.0,140.5,0,29,0
Brad Johnson,MIN,QB,38,15,14,270,439,2750,9,15,29,82,2.83,1,0,0,0,0,0,9,0,1,0,0,130,121.2,143.7,136.2,0,25,0
Tatum Bell,DEN,RB,25,13,13,0,0,0,0,0,233,1025,4.40,2,31,24,115,4.79,0,5,0,2,0,0,126,145.0,153.5,133.0,0,30,0
DeShaun Foster,CAR,RB,26,14,14,0,0,0,0,0,227,897,3.95,3,46,32,159,4.97,0,4,0,3,0,0,124,151.6,159.6,135.6,0,31,0
Damon Huard,KAN,QB,33,10,8,148,244,1878,11,1,9,9,1.00,0,2,2,-6,-3.00,0,9,0,0,0,1,119,112.4,120.9,112.4,0,26,0
Dominic Rhodes,IND,RB,27,16,16,0,0,0,0,0,187,641,3.43,5,47,36,251,6.97,0,3,0,5,0,0,119,152.2,159.7,134.2,0,32,0
Eddie Kennison,KAN,WR,33,16,16,0,0,0,0,0,4,16,4.00,0,101,53,860,16.23,5,0,0,5,0,0,118,170.6,173.6,144.1,0,30,0
Marty Booker,MIA,WR,30,14,13,0,0,0,0,0,3,19,6.33,0,90,55,747,13.58,6,0,0,6,2,0,117,171.6,174.6,144.1,0,31,0
Reuben Droughns,CLE,RB,28,14,12,0,0,0,0,0,220,758,3.45,4,33,27,169,6.26,0,5,0,4,0,0,117,138.7,147.2,125.2,0,33,0
David Garrard,JAX,QB,28,11,10,145,241,1735,10,9,47,250,5.32,0,0,0,0,0,0,4,0,0,0,0,116,112.4,129.4,121.4,0,27,0
Muhsin Muhammad,CHI,WR,33,16,16,0,0,0,0,0,0,0,0,0,117,60,863,14.38,5,1,0,5,0,0,116,175.3,178.8,145.3,0,32,0
Leon Washington,NYJ,RB,24,16,8,0,0,0,0,0,151,650,4.30,4,31,25,270,10.80,0,3,0,4,0,0,116,138.0,145.5,125.5,0,34,0
Chris Henry,CIN,WR,23,13,4,0,0,0,0,0,0,0,0,0,75,36,605,16.81,9,0,0,9,0,0,115,150.5,153.5,132.5,0,33,0
Jake Plummer,DEN,QB,32,16,11,175,317,1994,11,13,36,112,3.11,1,0,0,0,0,0,7,0,1,0,0,115,108.0,130.5,121.0,0,28,0
